IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
18.246.213.48,8080,80,false,ORD,North America,Chicago,202,0.00
54.212.112.218,443,80,false,ORD,North America,Chicago,201,0.00
35.87.73.254,2083,80,false,ORD,North America,Chicago,205,0.00
35.92.241.74,2082,80,false,ORD,North America,Chicago,208,0.00
35.89.245.216,2053,80,false,ORD,North America,Chicago,202,0.00
18.246.213.48,443,80,false,ORD,North America,Chicago,209,0.00
54.212.112.218,2053,80,false,ORD,North America,Chicago,203,0.00
35.93.29.243,8443,80,false,ORD,North America,Chicago,202,0.00
35.93.188.199,443,80,false,ORD,North America,Chicago,205,0.00
34.210.73.42,80,80,false,ORD,North America,Chicago,202,0.00
18.246.213.48,2095,80,false,ORD,North America,Chicago,198,0.00
35.87.73.254,2096,80,false,ORD,North America,Chicago,208,0.00
18.246.213.48,8880,80,false,ORD,North America,Chicago,201,0.00
34.210.73.42,2053,80,false,ORD,North America,Chicago,197,0.00
18.246.213.48,2086,80,false,ORD,North America,Chicago,211,0.00
18.246.213.48,2082,80,false,ORD,North America,Chicago,215,0.00
44.226.167.102,80,80,false,ORD,North America,Chicago,215,0.00
54.71.180.5,2096,80,false,ORD,North America,Chicago,211,0.00
35.178.231.166,8880,80,false,ORD,North America,Chicago,163,0.00
35.178.231.166,2087,80,false,ORD,North America,Chicago,172,0.00
35.178.231.166,2082,80,false,ORD,North America,Chicago,165,0.00
35.178.231.166,2095,80,false,ORD,North America,Chicago,200,0.00
35.178.231.166,2096,80,false,ORD,North America,Chicago,166,0.00
35.178.231.166,8080,80,false,ORD,North America,Chicago,174,0.00
3.110.43.175,2082,80,false,ORD,North America,Chicago,66,0.00
43.204.107.138,443,80,false,ORD,North America,Chicago,73,0.00
35.94.65.191,2053,80,false,ORD,North America,Chicago,196,0.00
35.94.65.191,2087,80,false,ORD,North America,Chicago,202,0.00
34.220.250.108,2086,80,false,ORD,North America,Chicago,193,0.00
35.93.4.236,443,80,false,ORD,North America,Chicago,196,0.00
35.93.4.236,2053,80,false,ORD,North America,Chicago,206,0.00
35.93.4.236,2082,80,false,ORD,North America,Chicago,205,0.00
54.254.190.97,2053,80,false,SIN,Asia Pacific,Singapore,1,0.00
54.254.190.97,2052,80,false,SIN,Asia Pacific,Singapore,2,0.00
54.254.190.97,2086,80,false,SIN,Asia Pacific,Singapore,2,0.00
54.254.190.97,2082,80,false,SIN,Asia Pacific,Singapore,3,0.00
54.254.190.97,2096,80,false,SIN,Asia Pacific,Singapore,3,0.00
54.255.124.181,443,443,true,SIN,Asia Pacific,Singapore,21,0.00
3.111.72.70,2082,80,false,FRA,Europe,Frankfurt,59,0.00
13.201.8.177,443,443,true,FRA,Europe,Frankfurt,60,0.00
3.111.137.178,80,8080,false,FRA,Europe,Frankfurt,60,0.00
3.111.72.70,2087,80,false,FRA,Europe,Frankfurt,62,0.00
13.114.123.213,80,443,true,KIX,Asia Pacific,Osaka,69,0.00
3.111.72.70,2083,80,false,FRA,Europe,Frankfurt,70,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,Tokyo,70,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,Seoul,71,0.00
13.125.218.78,443,443,true,ICN,Asia Pacific,Seoul,72,0.00
54.66.80.167,2087,80,false,SYD,Oceania,Sydney,92,0.00
54.66.80.167,2053,80,false,SYD,Oceania,Sydney,92,0.00
13.55.237.163,2053,80,false,SYD,Oceania,Sydney,92,0.00
13.55.237.163,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2095,80,false,SYD,Oceania,Sydney,93,0.00
54.66.80.167,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2096,80,false,SYD,Oceania,Sydney,93,0.00
